district,province,center_lat,center_lon
Colombo,Western,6.84823723,80.02863578
Gampaha,Western,7.11868674,80.02093188
Kalutara,Western,6.57564893,80.13452058
Kandy,Central,7.21502511,80.64056262
Matale,Central,7.69790222,80.66033493
Nuwara Eliya,Central,7.01327661,80.75704144
Galle,Southern,6.20417288,80.23092237
Matara,Southern,6.1582224,80.51940682
Hambantota,Southern,6.27590894,81.17796149
Jaffna,Northern,9.64395027,79.90838019
Mannar,Northern,8.88089835,80.1633428
Vavuniya,Northern,8.83615187,80.48643485
Mullaitivu,Northern,9.18102023,80.52648228
Kilinochchi,Northern,9.44765191,80.38569529
Batticaloa,Eastern,7.8342014,81.38553422
Ampara,Eastern,7.12509974,81.68550912
Trincomalee,Eastern,8.56827393,81.06290663
Kurunegala,North Western,7.72795301,80.25743281
Puttalam,North Western,7.9161926,79.91290159
Anuradhapura,North Central,8.36940484,80.4398676
Polonnaruwa,North Central,7.99389161,81.05057482
Badulla,Uva,7.08201712,81.08871712
Monaragala,Uva,6.87260111,81.37070159
Ratnapura,Sabaragamuwa,6.57988046,80.59000103
Kegalle,Sabaragamuwa,7.11288961,80.32145399
